dataset_index,mechanism,strength,training_seed,model,canonical_strict_auc,refit_strict_auc,strict_abs_diff,canonical_full_auc,refit_full_auc,full_abs_diff,parity_pass,bundle_sha256,model_adapter_sha256
0,M01,S1,13,lr,0.6895833333333333,0.6895833333333333,0.0,0.7136458333333333,0.7136458333333333,0.0,True,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,13,rf,0.618125,0.618125,0.0,0.6553125,0.6553125,0.0,True,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,13,lightgbm,0.5946874999999999,0.5946874999999999,0.0,0.6458333333333333,0.6458333333333333,0.0,True,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,42,lr,0.6895833333333333,0.6895833333333333,0.0,0.7006249999999999,0.7006249999999999,0.0,True,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,42,rf,0.6189583333333333,0.6189583333333333,0.0,0.6429166666666667,0.6429166666666667,0.0,True,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,42,lightgbm,0.5946874999999999,0.5946874999999999,0.0,0.6416666666666667,0.6416666666666667,0.0,True,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,2026,lr,0.6895833333333333,0.6895833333333333,0.0,0.7213541666666667,0.7213541666666667,0.0,True,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,2026,rf,0.62875,0.62875,0.0,0.6775000000000001,0.6775000000000001,0.0,True,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,2026,lightgbm,0.5946874999999999,0.5946874999999999,0.0,0.6170312499999999,0.6170312499999999,0.0,True,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
0,M01,S1,3407,lr,0.6895833333333333,0.6895833333333333,0.0,0.7170833333333334,0.7170833333333334,0.0,True,1e5c5baef227115e6f4d27894865f1a2e7e042f695ff803cb8fcbc20d3167b44,a1a795d8c0fd8d6b7da5023a1b64e295d154902f8adbaa85715b0f36d511444e
