run_id,dataset_index,mechanism,strength,seed,strategy,budget,status,failure_reason,n_quarantined,leak_recall,legit_retention,residual_harm,oracle_regret,pre_removal_full_auc,post_removal_auc,removed_count,removed_leak_count,removed_legit_count,mask_hash
5f43722159577a7cd993,0,M06,S3,13,no_removal,0.0,SUCCESS,,0,0.0,1.0,0.0,0.0,0.999896,0.999896,0,0,0,cc8cd41cef907c4d216069122c4b89936211361f9050a717a1e37ad1862e952f
ab6c45896c214f58cd78,0,M06,S3,13,oracle,0.0,SUCCESS,,4,1.0,1.0,-0.310104,0.310104,0.999896,0.689792,4,4,0,4b0ebea5afb86afbadf12eedc5c56e680f4946e61efe94ad358b6ff89ea5fec7
4c90fa3bf0c89a775f0a,0,M06,S3,13,field_budget,0.05,SUCCESS,,1,0.25,1.0,-0.002812,0.002812,0.999896,0.997083,1,1,0,e05c87c22d9e85f77fc6330da1cb3230fd41df772ad0c17bac06c5d7f8c7f574
321682f14d6ff6de6847,0,M06,S3,13,field_budget,0.1,SUCCESS,,2,0.5,1.0,-0.026146,0.026146,0.999896,0.97375,2,2,0,106343421449959baae061338df80ed926918f37bfea7617a613a460c813a1de
a69267b49ee80392e767,0,M06,S3,13,field_budget,0.2,SUCCESS,,4,1.0,1.0,-0.310104,0.310104,0.999896,0.689792,4,4,0,4b0ebea5afb86afbadf12eedc5c56e680f4946e61efe94ad358b6ff89ea5fec7
437183b67556c3050d01,0,M06,S3,13,group_budget,0.05,SUCCESS,,1,0.25,1.0,-0.002812,0.002812,0.999896,0.997083,1,1,0,e05c87c22d9e85f77fc6330da1cb3230fd41df772ad0c17bac06c5d7f8c7f574
53da411149b3353ec852,0,M06,S3,13,group_budget,0.1,SUCCESS,,1,0.25,1.0,-0.002812,0.002812,0.999896,0.997083,1,1,0,e05c87c22d9e85f77fc6330da1cb3230fd41df772ad0c17bac06c5d7f8c7f574
7d1f67c1ae2ab8cc063d,0,M06,S3,13,group_budget,0.2,SUCCESS,,1,0.25,1.0,-0.002812,0.002812,0.999896,0.997083,1,1,0,e05c87c22d9e85f77fc6330da1cb3230fd41df772ad0c17bac06c5d7f8c7f574
6e7af37b449b93d7ed27,0,M06,S3,13,lifecycle,0.05,SUCCESS,,4,1.0,1.0,-0.310104,0.310104,0.999896,0.689792,4,4,0,4b0ebea5afb86afbadf12eedc5c56e680f4946e61efe94ad358b6ff89ea5fec7
5e2d5249f8bb35d72f11,0,M06,S3,13,lifecycle,0.1,SUCCESS,,4,1.0,1.0,-0.310104,0.310104,0.999896,0.689792,4,4,0,4b0ebea5afb86afbadf12eedc5c56e680f4946e61efe94ad358b6ff89ea5fec7
4619e049ea025fc32f4b,0,M06,S3,13,lifecycle,0.2,SUCCESS,,4,1.0,1.0,-0.310104,0.310104,0.999896,0.689792,4,4,0,4b0ebea5afb86afbadf12eedc5c56e680f4946e61efe94ad358b6ff89ea5fec7
368aad57adef51536d21,0,M06,S3,13,graph_cut,0.05,SUCCESS,,0,nan,nan,0.0,0.0,0.999896,0.999896,0,0,0,cc8cd41cef907c4d216069122c4b89936211361f9050a717a1e37ad1862e952f
0a0ccf0370c7c2a91166,0,M06,S3,13,graph_cut,0.1,SUCCESS,,0,nan,nan,0.0,0.0,0.999896,0.999896,0,0,0,cc8cd41cef907c4d216069122c4b89936211361f9050a717a1e37ad1862e952f
c528eb5e5059777f6af6,0,M06,S3,13,graph_cut,0.2,SUCCESS,,0,nan,nan,0.0,0.0,0.999896,0.999896,0,0,0,cc8cd41cef907c4d216069122c4b89936211361f9050a717a1e37ad1862e952f
15bee4fcc17dfd67bc64,0,M06,S5,13,no_removal,0.0,SUCCESS,,0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,9b8f65607d891ebc9ee18add4f866748456ebce2d8f0bd9c9a8e508871617f27
75e37a316d093c99bb9d,0,M06,S5,13,oracle,0.0,SUCCESS,,8,1.0,1.0,-0.310208,0.310208,1.0,0.689792,8,8,0,feb2b6a0819fd8f7b47be15375178f44246987c02bbd1f78c89ddc6d7d38f86f
87a4402bcd5067478ab9,0,M06,S5,13,field_budget,0.05,SUCCESS,,1,0.125,1.0,0.0,0.0,1.0,1.0,1,1,0,72a2c521f8f19327f9ea3de8062e4f357d8c02e9fdbeb4e66088d771d2bbef09
d6a4281bb73c502d0472,0,M06,S5,13,field_budget,0.1,SUCCESS,,2,0.25,1.0,0.0,0.0,1.0,1.0,2,2,0,9191915dea404be310952be662912e668a2d9260281cf63a6a16d552b3f398b7
2691bfa464b98e887ed8,0,M06,S5,13,field_budget,0.2,SUCCESS,,4,0.5,1.0,-0.000312,0.000312,1.0,0.999688,4,4,0,65ce4059edcf19787407a81a84d196c0896c75430aaa4b8b56a7c122962a394c
246d2d67446805f31281,0,M06,S5,13,group_budget,0.05,SUCCESS,,1,0.125,1.0,0.0,0.0,1.0,1.0,1,1,0,72a2c521f8f19327f9ea3de8062e4f357d8c02e9fdbeb4e66088d771d2bbef09
93a812977e58f4058dd0,0,M06,S5,13,group_budget,0.1,SUCCESS,,1,0.125,1.0,0.0,0.0,1.0,1.0,1,1,0,72a2c521f8f19327f9ea3de8062e4f357d8c02e9fdbeb4e66088d771d2bbef09
31373892b738474156cb,0,M06,S5,13,group_budget,0.2,SUCCESS,,2,0.25,1.0,0.0,0.0,1.0,1.0,2,2,0,9191915dea404be310952be662912e668a2d9260281cf63a6a16d552b3f398b7
6b17ba4b7fdfe94e8f02,0,M06,S5,13,lifecycle,0.05,SUCCESS,,8,1.0,1.0,-0.310208,0.310208,1.0,0.689792,8,8,0,feb2b6a0819fd8f7b47be15375178f44246987c02bbd1f78c89ddc6d7d38f86f
afb99150e07dbe6d0844,0,M06,S5,13,lifecycle,0.1,SUCCESS,,8,1.0,1.0,-0.310208,0.310208,1.0,0.689792,8,8,0,feb2b6a0819fd8f7b47be15375178f44246987c02bbd1f78c89ddc6d7d38f86f
0c3030cd702b6dbe2fb5,0,M06,S5,13,lifecycle,0.2,SUCCESS,,8,1.0,1.0,-0.310208,0.310208,1.0,0.689792,8,8,0,feb2b6a0819fd8f7b47be15375178f44246987c02bbd1f78c89ddc6d7d38f86f
