mech,str,model,seed,infl
M08,0.1,ModernNCA,13,0.0032679738562091387
M08,0.1,TabR,13,-0.01388888888888895
M08,0.1,ModernNCA,42,0.0032679738562091387
M08,0.1,TabR,42,-0.01388888888888895
M08,0.1,ModernNCA,2026,0.0032679738562091387
M08,0.1,TabR,2026,-0.01388888888888895
M08,0.5,ModernNCA,13,-0.052696078431372584
M08,0.5,TabR,13,-0.011437908496731986
M08,0.5,ModernNCA,42,-0.052696078431372584
M08,0.5,TabR,42,-0.011437908496731986
M08,0.5,ModernNCA,2026,-0.052696078431372584
M08,0.5,TabR,2026,-0.011437908496731986
M08,1.0,ModernNCA,13,-0.02777777777777779
M08,1.0,TabR,13,0.022875816993464082
M08,1.0,ModernNCA,42,-0.02777777777777779
M08,1.0,TabR,42,0.022875816993464082
M08,1.0,ModernNCA,2026,-0.02777777777777779
M08,1.0,TabR,2026,0.022875816993464082
M08,0.1,ModernNCA,13,0.01726973684210531
M08,0.1,TabR,13,0.015625
M08,0.1,ModernNCA,42,0.01726973684210531
M08,0.1,TabR,42,0.015625
M08,0.1,ModernNCA,2026,0.01726973684210531
M08,0.1,TabR,2026,0.015625
M08,0.5,ModernNCA,13,0.010690789473684181
M08,0.5,TabR,13,0.018092105263157965
M08,0.5,ModernNCA,42,0.010690789473684181
M08,0.5,TabR,42,0.018092105263157965
M08,0.5,ModernNCA,2026,0.010690789473684181
M08,0.5,TabR,2026,0.018092105263157965
M08,1.0,ModernNCA,13,-0.03865131578947367
M08,1.0,TabR,13,0.01398026315789469
M08,1.0,ModernNCA,42,-0.03865131578947367
M08,1.0,TabR,42,0.01398026315789469
M08,1.0,ModernNCA,2026,-0.03865131578947367
M08,1.0,TabR,2026,0.01398026315789469
M08,0.1,ModernNCA,13,-0.00040849673202614234
M08,0.1,TabR,13,0.04166666666666674
M08,0.1,ModernNCA,42,-0.00040849673202614234
M08,0.1,TabR,42,0.04166666666666674
M08,0.1,ModernNCA,2026,-0.00040849673202614234
M08,0.1,TabR,2026,0.04166666666666674
M08,0.5,ModernNCA,13,0.01756535947712412
M08,0.5,TabR,13,0.04820261437908502
M08,0.5,ModernNCA,42,0.01756535947712412
M08,0.5,TabR,42,0.04820261437908502
M08,0.5,ModernNCA,2026,0.01756535947712412
M08,0.5,TabR,2026,0.04820261437908502
M08,1.0,ModernNCA,13,-0.025326797385620936
M08,1.0,TabR,13,0.01225490196078427
M08,1.0,ModernNCA,42,-0.025326797385620936
M08,1.0,TabR,42,0.01225490196078427
M08,1.0,ModernNCA,2026,-0.025326797385620936
M08,1.0,TabR,2026,0.01225490196078427
M08,0.1,ModernNCA,13,-0.015522875816993298
M08,0.1,TabR,13,0.020424836601307228
M08,0.1,ModernNCA,42,-0.015522875816993298
M08,0.1,TabR,42,0.020424836601307228
M08,0.1,ModernNCA,2026,-0.015522875816993298
M08,0.1,TabR,2026,0.020424836601307228
M08,0.5,ModernNCA,13,0.03145424836601318
M08,0.5,TabR,13,0.042483660130719025
M08,0.5,ModernNCA,42,0.03145424836601318
M08,0.5,TabR,42,0.042483660130719025
M08,0.5,ModernNCA,2026,0.03145424836601318
M08,0.5,TabR,2026,0.042483660130719025
M08,1.0,ModernNCA,13,-0.005310457516339739
M08,1.0,TabR,13,0.03267973856209161
M08,1.0,ModernNCA,42,-0.005310457516339739
M08,1.0,TabR,42,0.03267973856209161
M08,1.0,ModernNCA,2026,-0.005310457516339739
M08,1.0,TabR,2026,0.03267973856209161
M08,0.1,ModernNCA,13,-0.012310606060606077
M08,0.1,TabR,13,0.048295454545454586
M08,0.1,ModernNCA,42,-0.012310606060606077
M08,0.1,TabR,42,0.048295454545454586
M08,0.1,ModernNCA,2026,-0.012310606060606077
M08,0.1,TabR,2026,0.048295454545454586
M08,0.5,ModernNCA,13,-0.010890151515151492
M08,0.5,TabR,13,-0.0018939393939392257
M08,0.5,ModernNCA,42,-0.010890151515151492
M08,0.5,TabR,42,-0.0018939393939392257
M08,0.5,ModernNCA,2026,-0.010890151515151492
M08,0.5,TabR,2026,-0.0018939393939392257
M08,1.0,ModernNCA,13,-0.03456439393939381
M08,1.0,TabR,13,-0.03219696969696961
M08,1.0,ModernNCA,42,-0.03456439393939381
M08,1.0,TabR,42,-0.03219696969696961
M08,1.0,ModernNCA,2026,-0.03456439393939381
M08,1.0,TabR,2026,-0.03219696969696961
M08,0.1,ModernNCA,13,-0.008333333333333304
M08,0.1,TabR,13,0.09333333333333332
M08,0.1,ModernNCA,42,-0.008333333333333304
M08,0.1,TabR,42,0.09333333333333332
M08,0.1,ModernNCA,2026,-0.008333333333333304
M08,0.1,TabR,2026,0.09333333333333332
M08,0.5,ModernNCA,13,-0.007916666666666738
M08,0.5,TabR,13,0.06
M08,0.5,ModernNCA,42,-0.007916666666666738
M08,0.5,TabR,42,0.06
M08,0.5,ModernNCA,2026,-0.007916666666666738
M08,0.5,TabR,2026,0.06
M08,1.0,ModernNCA,13,-0.005416666666666681
M08,1.0,TabR,13,0.08166666666666672
M08,1.0,ModernNCA,42,-0.005416666666666681
M08,1.0,TabR,42,0.08166666666666672
M08,1.0,ModernNCA,2026,-0.005416666666666681
M08,1.0,TabR,2026,0.08166666666666672
