ds,mech,str,seed,clean,full,infl,auprc
ds_0,M01,S1,13,0.8814405419860939,1.0,0.1185594580139061,1.0
ds_0,M01,S1,42,0.8814405419860939,1.0,0.1185594580139061,1.0
ds_0,M01,S1,2026,0.8814405419860939,1.0,0.1185594580139061,1.0
ds_0,M01,S3,13,0.8814405419860939,1.0,0.1185594580139061,1.0
ds_0,M01,S3,42,0.8814405419860939,1.0,0.1185594580139061,1.0
ds_0,M01,S3,2026,0.8814405419860939,1.0,0.1185594580139061,1.0
ds_0,M01,S5,13,0.8814405419860939,1.0,0.1185594580139061,1.0
ds_0,M01,S5,42,0.8814405419860939,1.0,0.1185594580139061,1.0
ds_0,M01,S5,2026,0.8814405419860939,1.0,0.1185594580139061,1.0
ds_0,M02,S1,13,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M02,S1,42,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M02,S1,2026,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M02,S3,13,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M02,S3,42,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M02,S3,2026,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M02,S5,13,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M02,S5,42,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M02,S5,2026,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M03,S1,13,0.8749720720318156,0.998033871039814,0.12306179900799841,1.0
ds_0,M03,S1,42,0.8749720720318156,0.998033871039814,0.12306179900799841,1.0
ds_0,M03,S1,2026,0.8749720720318156,0.998033871039814,0.12306179900799841,1.0
ds_0,M03,S3,13,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M03,S3,42,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M03,S3,2026,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M03,S5,13,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M03,S5,42,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M03,S5,2026,0.8749720720318156,0.999486125385406,0.12451405335359045,1.0
ds_0,M04,S1,13,0.8749720720318156,0.878502167210331,0.0035300951785154355,0.25
ds_0,M04,S1,42,0.8749720720318156,0.878502167210331,0.0035300951785154355,0.25
ds_0,M04,S1,2026,0.8749720720318156,0.878502167210331,0.0035300951785154355,0.25
ds_0,M04,S3,13,0.8749720720318156,0.8758657670137182,0.0008936949819026152,0.16666666666666666
ds_0,M04,S3,42,0.8749720720318156,0.8758657670137182,0.0008936949819026152,0.16666666666666666
ds_0,M04,S3,2026,0.8749720720318156,0.8758657670137182,0.0008936949819026152,0.16666666666666666
ds_0,M04,S5,13,0.8749720720318156,0.877161624737477,0.002189552705661457,0.0625
ds_0,M04,S5,42,0.8749720720318156,0.877161624737477,0.002189552705661457,0.0625
ds_0,M04,S5,2026,0.8749720720318156,0.877161624737477,0.002189552705661457,0.0625
ds_0,M05,S1,13,0.8749720720318156,0.875150811028196,0.00017873899638043422,0.0625
ds_0,M05,S1,42,0.8749720720318156,0.875150811028196,0.00017873899638043422,0.0625
ds_0,M05,S1,2026,0.8749720720318156,0.875150811028196,0.00017873899638043422,0.0625
ds_0,M05,S3,13,0.8749720720318156,0.8782340587157602,0.0032619866839446177,0.2
ds_0,M05,S3,42,0.8749720720318156,0.8782340587157602,0.0032619866839446177,0.2
ds_0,M05,S3,2026,0.8749720720318156,0.8782340587157602,0.0032619866839446177,0.2
ds_0,M05,S5,13,0.8749720720318156,0.877787211224809,0.0028151391929933656,0.2
ds_0,M05,S5,42,0.8749720720318156,0.877787211224809,0.0028151391929933656,0.2
ds_0,M05,S5,2026,0.8749720720318156,0.877787211224809,0.0028151391929933656,0.2
ds_0,M06,S1,13,0.8889581755823794,0.9994209612044007,0.11046278562202128,1.0
