dataset,mechanism,strength,seed,clean_auc,full_auc,inflation,diagnostic_auprc,top5_recall
ds_0,M01,S1,13,0.8925792539237918,1.0,0.10742074607620822,1.0,1.0
ds_0,M01,S1,42,0.8981814948201502,0.9999555377706638,0.10177404295051362,1.0,1.0
ds_0,M01,S1,2026,0.8975590236094437,1.0,0.10244097639055627,1.0,1.0
ds_0,M01,S3,13,0.8925792539237918,1.0,0.10742074607620822,1.0,1.0
ds_0,M01,S3,42,0.8981814948201502,0.9999555377706638,0.10177404295051362,1.0,1.0
ds_0,M01,S3,2026,0.8975590236094437,1.0,0.10244097639055627,1.0,1.0
ds_0,M01,S5,13,0.8925792539237918,1.0,0.10742074607620822,1.0,1.0
ds_0,M01,S5,42,0.8981814948201502,0.9999555377706638,0.10177404295051362,1.0,1.0
ds_0,M01,S5,2026,0.8975590236094437,1.0,0.10244097639055627,1.0,1.0
ds_0,M02,S1,13,0.8893145071489019,1.0,0.11068549285109808,1.0,1.0
ds_0,M02,S1,42,0.8924769498017906,1.0,0.1075230501982094,1.0,1.0
ds_0,M02,S1,2026,0.9015188633023028,0.9999109171083693,0.09839205380606653,1.0,1.0
ds_0,M02,S3,13,0.8893145071489019,1.0,0.11068549285109808,1.0,1.0
ds_0,M02,S3,42,0.8924769498017906,1.0,0.1075230501982094,1.0,1.0
ds_0,M02,S3,2026,0.9015188633023028,0.9999109171083693,0.09839205380606653,1.0,1.0
ds_0,M02,S5,13,0.8893145071489019,1.0,0.11068549285109808,1.0,1.0
ds_0,M02,S5,42,0.8924769498017906,1.0,0.1075230501982094,1.0,1.0
ds_0,M02,S5,2026,0.9015188633023028,0.9999109171083693,0.09839205380606653,1.0,1.0
ds_0,M03,S1,13,0.8893145071489019,0.9640105117812123,0.07469600463231041,1.0,1.0
ds_0,M03,S1,42,0.8924769498017906,0.9604917375618012,0.06801478776001058,1.0,1.0
ds_0,M03,S1,2026,0.9015188633023028,0.9584873725001113,0.05696850919780849,1.0,1.0
ds_0,M03,S3,13,0.8893145071489019,1.0,0.11068549285109808,1.0,1.0
ds_0,M03,S3,42,0.8924769498017906,1.0,0.1075230501982094,1.0,1.0
ds_0,M03,S3,2026,0.9015188633023028,0.9999109171083693,0.09839205380606653,1.0,1.0
ds_0,M03,S5,13,0.8893145071489019,1.0,0.11068549285109808,1.0,1.0
ds_0,M03,S5,42,0.8924769498017906,1.0,0.1075230501982094,1.0,1.0
ds_0,M03,S5,2026,0.9015188633023028,0.9999109171083693,0.09839205380606653,1.0,1.0
ds_0,M04,S1,13,0.8893145071489019,0.8926105741392364,0.0032960669903344675,0.2,1.0
ds_0,M04,S1,42,0.8924769498017906,0.8815197541312191,-0.010957195670571518,0.2,1.0
ds_0,M04,S1,2026,0.9015188633023028,0.8911407064273307,-0.010378156874972122,0.2,1.0
ds_0,M04,S3,13,0.8893145071489019,0.890517126185916,0.0012026190370141299,0.0625,0.0
ds_0,M04,S3,42,0.8924769498017906,0.8884682196784108,-0.004008730123379767,0.0625,0.0
ds_0,M04,S3,2026,0.9015188633023028,0.891452496548038,-0.010066366754264755,0.0625,0.0
ds_0,M04,S5,13,0.8893145071489019,0.8936795688388046,0.004365061689902694,0.1,0.0
ds_0,M04,S5,42,0.8924769498017906,0.8838804507594317,-0.00859649904235893,0.1,0.0
ds_0,M04,S5,2026,0.9015188633023028,0.8916752037771146,-0.009843659525188175,0.1,0.0
ds_0,M05,S1,13,0.8893145071489019,0.8911407064273307,0.0018261992784287528,0.0625,0.0
ds_0,M05,S1,42,0.8924769498017906,0.8891363413656407,-0.0033406084361499166,0.0625,0.0
ds_0,M05,S1,2026,0.9015188633023028,0.8894481314863479,-0.01207073181595486,0.0625,0.0
ds_0,M05,S3,13,0.8893145071489019,0.8978219232996303,0.008507416150728364,0.0625,0.0
ds_0,M05,S3,42,0.8924769498017906,0.881252505456327,-0.011224444345463547,0.0625,0.0
ds_0,M05,S3,2026,0.9015188633023028,0.8916752037771146,-0.009843659525188175,0.0625,0.0
ds_0,M05,S5,13,0.8893145071489019,0.8904280432942853,0.0011135361453833426,0.1111111111111111,0.0
ds_0,M05,S5,42,0.8924769498017906,0.8872656006413968,-0.005211349160393786,0.1111111111111111,0.0
ds_0,M05,S5,2026,0.9015188633023028,0.8823660416017104,-0.019152821700592404,0.1111111111111111,0.0
