ds,mech,strategy,budget,auc,oracle_auc,regret,n_quar,legit_ret,leak_recall
ds_0,M01,G1_no_removal,0.05,1.0,0.8659999999999999,0.13400000000000012,0,1.0,0.0
ds_0,M01,G2_oracle_remove_all,0.05,0.8659999999999999,0.8659999999999999,0.0,1,1.0,1.0
ds_0,M01,G3_fixed_field_budget,0.05,0.8659999999999999,0.8659999999999999,0.0,1,1.0,1.0
ds_0,M01,G4_fixed_group_budget,0.05,0.8659999999999999,0.8659999999999999,0.0,1,1.0,1.0
ds_0,M01,G6_graph_cut,0.05,0.8659999999999999,0.8659999999999999,0.0,1,1.0,1.0
ds_0,M01,G7_lifecycle_removal,0.05,1.0,0.8659999999999999,0.13400000000000012,0,1.0,0.0
ds_0,M01,G1_no_removal,0.1,1.0,0.8659999999999999,0.13400000000000012,0,1.0,0.0
ds_0,M01,G2_oracle_remove_all,0.1,0.8659999999999999,0.8659999999999999,0.0,1,1.0,1.0
ds_0,M01,G3_fixed_field_budget,0.1,0.6072,0.8659999999999999,0.2587999999999999,2,0.9333333333333333,1.0
ds_0,M01,G4_fixed_group_budget,0.1,0.6072,0.8659999999999999,0.2587999999999999,2,0.9333333333333333,1.0
ds_0,M01,G6_graph_cut,0.1,0.6072,0.8659999999999999,0.2587999999999999,2,0.9333333333333333,1.0
ds_0,M01,G7_lifecycle_removal,0.1,1.0,0.8659999999999999,0.13400000000000012,0,1.0,0.0
ds_0,M01,G1_no_removal,0.2,1.0,0.8659999999999999,0.13400000000000012,0,1.0,0.0
ds_0,M01,G2_oracle_remove_all,0.2,0.8659999999999999,0.8659999999999999,0.0,1,1.0,1.0
ds_0,M01,G3_fixed_field_budget,0.2,0.4772,0.8659999999999999,0.38879999999999987,4,0.8,1.0
ds_0,M01,G4_fixed_group_budget,0.2,0.4772,0.8659999999999999,0.38879999999999987,4,0.8,1.0
ds_0,M01,G6_graph_cut,0.2,0.4772,0.8659999999999999,0.38879999999999987,4,0.8,1.0
ds_0,M01,G7_lifecycle_removal,0.2,1.0,0.8659999999999999,0.13400000000000012,0,1.0,0.0
ds_0,M01,G1_no_removal,0.3,1.0,0.8659999999999999,0.13400000000000012,0,1.0,0.0
ds_0,M01,G2_oracle_remove_all,0.3,0.8659999999999999,0.8659999999999999,0.0,1,1.0,1.0
ds_0,M01,G3_fixed_field_budget,0.3,0.5064,0.8659999999999999,0.3595999999999999,5,0.7333333333333333,1.0
ds_0,M01,G4_fixed_group_budget,0.3,0.5064,0.8659999999999999,0.3595999999999999,5,0.7333333333333333,1.0
ds_0,M01,G6_graph_cut,0.3,0.5064,0.8659999999999999,0.3595999999999999,5,0.7333333333333333,1.0
ds_0,M01,G7_lifecycle_removal,0.3,1.0,0.8659999999999999,0.13400000000000012,0,1.0,0.0
ds_0,M04,G1_no_removal,0.05,0.8812121212121212,0.8832323232323231,0.002020202020201922,0,1.0,0.0
ds_0,M04,G2_oracle_remove_all,0.05,0.8832323232323231,0.8832323232323231,0.0,1,1.0,1.0
ds_0,M04,G3_fixed_field_budget,0.05,0.7462626262626263,0.8832323232323231,0.13696969696969685,1,0.9333333333333333,0.0
ds_0,M04,G4_fixed_group_budget,0.05,0.7462626262626263,0.8832323232323231,0.13696969696969685,1,0.9333333333333333,0.0
ds_0,M04,G6_graph_cut,0.05,0.7462626262626263,0.8832323232323231,0.13696969696969685,1,0.9333333333333333,0.0
ds_0,M04,G7_lifecycle_removal,0.05,0.8812121212121212,0.8832323232323231,0.002020202020201922,0,1.0,0.0
ds_0,M04,G1_no_removal,0.1,0.8812121212121212,0.8832323232323231,0.002020202020201922,0,1.0,0.0
ds_0,M04,G2_oracle_remove_all,0.1,0.8832323232323231,0.8832323232323231,0.0,1,1.0,1.0
ds_0,M04,G3_fixed_field_budget,0.1,0.4125252525252525,0.8832323232323231,0.47070707070707063,2,0.8666666666666667,0.0
ds_0,M04,G4_fixed_group_budget,0.1,0.4125252525252525,0.8832323232323231,0.47070707070707063,2,0.8666666666666667,0.0
ds_0,M04,G6_graph_cut,0.1,0.4125252525252525,0.8832323232323231,0.47070707070707063,2,0.8666666666666667,0.0
ds_0,M04,G7_lifecycle_removal,0.1,0.8812121212121212,0.8832323232323231,0.002020202020201922,0,1.0,0.0
ds_0,M04,G1_no_removal,0.2,0.8812121212121212,0.8832323232323231,0.002020202020201922,0,1.0,0.0
ds_0,M04,G2_oracle_remove_all,0.2,0.8832323232323231,0.8832323232323231,0.0,1,1.0,1.0
ds_0,M04,G3_fixed_field_budget,0.2,0.5458585858585858,0.8832323232323231,0.3373737373737373,4,0.7333333333333333,0.0
ds_0,M04,G4_fixed_group_budget,0.2,0.5458585858585858,0.8832323232323231,0.3373737373737373,4,0.7333333333333333,0.0
ds_0,M04,G6_graph_cut,0.2,0.5458585858585858,0.8832323232323231,0.3373737373737373,4,0.7333333333333333,0.0
ds_0,M04,G7_lifecycle_removal,0.2,0.8812121212121212,0.8832323232323231,0.002020202020201922,0,1.0,0.0
ds_0,M04,G1_no_removal,0.3,0.8812121212121212,0.8832323232323231,0.002020202020201922,0,1.0,0.0
ds_0,M04,G2_oracle_remove_all,0.3,0.8832323232323231,0.8832323232323231,0.0,1,1.0,1.0
ds_0,M04,G3_fixed_field_budget,0.3,0.5131313131313131,0.8832323232323231,0.37010101010101004,5,0.7333333333333333,1.0
ds_0,M04,G4_fixed_group_budget,0.3,0.5131313131313131,0.8832323232323231,0.37010101010101004,5,0.7333333333333333,1.0
ds_0,M04,G6_graph_cut,0.3,0.5131313131313131,0.8832323232323231,0.37010101010101004,5,0.7333333333333333,1.0
ds_0,M04,G7_lifecycle_removal,0.3,0.8812121212121212,0.8832323232323231,0.002020202020201922,0,1.0,0.0
ds_0,M06,G1_no_removal,0.05,0.9905660377358491,0.8887996788438378,0.10176635889201124,0,1.0,0.0
ds_0,M06,G2_oracle_remove_all,0.05,0.8887996788438378,0.8887996788438378,0.0,3,1.0,1.0
ds_0,M06,G3_fixed_field_budget,0.05,1.0,0.8887996788438378,0.11120032115616219,1,1.0,0.3333333333333333
ds_0,M06,G4_fixed_group_budget,0.05,1.0,0.8887996788438378,0.11120032115616219,1,1.0,0.3333333333333333
ds_0,M06,G6_graph_cut,0.05,1.0,0.8887996788438378,0.11120032115616219,1,1.0,0.3333333333333333
ds_0,M06,G7_lifecycle_removal,0.05,0.9905660377358491,0.8887996788438378,0.10176635889201124,0,1.0,0.0
ds_0,M06,G1_no_removal,0.1,0.9905660377358491,0.8887996788438378,0.10176635889201124,0,1.0,0.0
ds_0,M06,G2_oracle_remove_all,0.1,0.8887996788438378,0.8887996788438378,0.0,3,1.0,1.0
ds_0,M06,G3_fixed_field_budget,0.1,1.0,0.8887996788438378,0.11120032115616219,2,1.0,0.6666666666666666
ds_0,M06,G4_fixed_group_budget,0.1,1.0,0.8887996788438378,0.11120032115616219,2,1.0,0.6666666666666666
ds_0,M06,G6_graph_cut,0.1,1.0,0.8887996788438378,0.11120032115616219,2,1.0,0.6666666666666666
ds_0,M06,G7_lifecycle_removal,0.1,0.9905660377358491,0.8887996788438378,0.10176635889201124,0,1.0,0.0
ds_0,M06,G1_no_removal,0.2,0.9905660377358491,0.8887996788438378,0.10176635889201124,0,1.0,0.0
ds_0,M06,G2_oracle_remove_all,0.2,0.8887996788438378,0.8887996788438378,0.0,3,1.0,1.0
ds_0,M06,G3_fixed_field_budget,0.2,0.7230028101164191,0.8887996788438378,0.16579686872741872,4,0.9333333333333333,1.0
ds_0,M06,G4_fixed_group_budget,0.2,0.7230028101164191,0.8887996788438378,0.16579686872741872,4,0.9333333333333333,1.0
ds_0,M06,G6_graph_cut,0.2,0.7230028101164191,0.8887996788438378,0.16579686872741872,4,0.9333333333333333,1.0
ds_0,M06,G7_lifecycle_removal,0.2,0.9905660377358491,0.8887996788438378,0.10176635889201124,0,1.0,0.0
ds_0,M06,G1_no_removal,0.3,0.9905660377358491,0.8887996788438378,0.10176635889201124,0,1.0,0.0
ds_0,M06,G2_oracle_remove_all,0.3,0.8887996788438378,0.8887996788438378,0.0,3,1.0,1.0
ds_0,M06,G3_fixed_field_budget,0.3,0.5110397430750703,0.8887996788438378,0.37775993576876754,6,0.8,1.0
