ds,mech,str,model,seed,strategy,auc,oracle_auc,oracle_regret,n_quarantined,n_kept,legit_retention,leakage_recall
ds_0,M01,S3,catboost,42,G1_no_removal,1.0,0.8643317230273753,0.13566827697262474,0,13,1.0,0.0
ds_0,M01,S3,lr,42,G1_no_removal,1.0,0.8969404186795491,0.1030595813204509,0,13,1.0,0.0
ds_0,M01,S3,catboost,42,G2_oracle_remove_all,0.8643317230273753,0.8643317230273753,0.0,1,12,1.0,1.0
ds_0,M01,S3,lr,42,G2_oracle_remove_all,0.8969404186795491,0.8969404186795491,0.0,1,12,1.0,1.0
ds_0,M01,S3,catboost,42,G3_fixed_field_budget,0.6582125603864734,0.8643317230273753,0.2061191626409019,2,11,0.9166666666666666,1.0
ds_0,M01,S3,lr,42,G3_fixed_field_budget,0.6996779388083736,0.8969404186795491,0.1972624798711755,2,11,0.9166666666666666,1.0
ds_0,M01,S3,catboost,42,G5_score_threshold,1.0,0.8643317230273753,0.13566827697262474,0,13,1.0,0.0
ds_0,M01,S3,lr,42,G5_score_threshold,1.0,0.8969404186795491,0.1030595813204509,0,13,1.0,0.0
ds_0,M01,S3,catboost,42,G7_lifecycle_removal,1.0,0.8643317230273753,0.13566827697262474,0,13,1.0,0.0
ds_0,M01,S3,lr,42,G7_lifecycle_removal,1.0,0.8969404186795491,0.1030595813204509,0,13,1.0,0.0
ds_0,M01,S5,catboost,42,G1_no_removal,1.0,0.8643317230273753,0.13566827697262474,0,13,1.0,0.0
ds_0,M01,S5,lr,42,G1_no_removal,1.0,0.8969404186795491,0.1030595813204509,0,13,1.0,0.0
ds_0,M01,S5,catboost,42,G2_oracle_remove_all,0.8643317230273753,0.8643317230273753,0.0,1,12,1.0,1.0
ds_0,M01,S5,lr,42,G2_oracle_remove_all,0.8969404186795491,0.8969404186795491,0.0,1,12,1.0,1.0
ds_0,M01,S5,catboost,42,G3_fixed_field_budget,0.6582125603864734,0.8643317230273753,0.2061191626409019,2,11,0.9166666666666666,1.0
ds_0,M01,S5,lr,42,G3_fixed_field_budget,0.6996779388083736,0.8969404186795491,0.1972624798711755,2,11,0.9166666666666666,1.0
ds_0,M01,S5,catboost,42,G5_score_threshold,1.0,0.8643317230273753,0.13566827697262474,0,13,1.0,0.0
ds_0,M01,S5,lr,42,G5_score_threshold,1.0,0.8969404186795491,0.1030595813204509,0,13,1.0,0.0
ds_0,M01,S5,catboost,42,G7_lifecycle_removal,1.0,0.8643317230273753,0.13566827697262474,0,13,1.0,0.0
ds_0,M01,S5,lr,42,G7_lifecycle_removal,1.0,0.8969404186795491,0.1030595813204509,0,13,1.0,0.0
ds_0,M02,S3,catboost,42,G1_no_removal,1.0,0.8879967884383781,0.11200321156162185,0,13,1.0,0.0
ds_0,M02,S3,lr,42,G1_no_removal,1.0,0.9048574869530309,0.09514251304696908,0,13,1.0,0.0
ds_0,M02,S3,catboost,42,G2_oracle_remove_all,0.8879967884383781,0.8879967884383781,0.0,1,12,1.0,1.0
ds_0,M02,S3,lr,42,G2_oracle_remove_all,0.9048574869530309,0.9048574869530309,0.0,1,12,1.0,1.0
ds_0,M02,S3,catboost,42,G3_fixed_field_budget,0.6864712966680048,0.8879967884383781,0.20152549177037338,2,11,0.9166666666666666,1.0
ds_0,M02,S3,lr,42,G3_fixed_field_budget,0.6599759132878361,0.9048574869530309,0.2448815736651948,2,11,0.9166666666666666,1.0
ds_0,M02,S3,catboost,42,G5_score_threshold,1.0,0.8879967884383781,0.11200321156162185,0,13,1.0,0.0
ds_0,M02,S3,lr,42,G5_score_threshold,1.0,0.9048574869530309,0.09514251304696908,0,13,1.0,0.0
ds_0,M02,S3,catboost,42,G7_lifecycle_removal,1.0,0.8879967884383781,0.11200321156162185,0,13,1.0,0.0
ds_0,M02,S3,lr,42,G7_lifecycle_removal,1.0,0.9048574869530309,0.09514251304696908,0,13,1.0,0.0
