metric,mean,ci_lo,ci_hi,p_gt_zero,n_keys,n_tasks,task_sd,first_policy,second_policy,contract,budget_bp
legacy_sdr,0.006208498982999194,0.0005261390997037687,0.012799830018816138,0.987,5500,20,0.014687459430723809,P3,P4,encoded_column,500
legacy_sdr,0.012622343335188907,0.00484117855764058,0.02104178801806401,0.9998,5500,20,0.019336859669945815,P3,P4,encoded_column,1000
legacy_sdr,0.023542084345993385,0.013228204002683498,0.03456326879591064,1.0,5500,20,0.024826033442729486,P3,P4,encoded_column,2000
legacy_sdr,0.0057715812349818174,-0.00015124239301025298,0.01277884829033703,0.9712,5500,20,0.015019342786327418,P3,P4,semantic_group,500
legacy_sdr,0.01854225207656489,0.007387913329637151,0.030620706626902736,1.0,5500,20,0.026786008931731085,P3,P4,semantic_group,1000
legacy_sdr,0.030006038732345874,0.01681221924148626,0.04482339751771556,1.0,5500,20,0.03288132684386405,P3,P4,semantic_group,2000
legacy_sdr,0.006286149145011107,0.0010257341207685644,0.012542691864344155,0.993,5500,20,0.013722577193544088,P3,P5,encoded_column,500
legacy_sdr,0.011554245878843579,0.005110396980037819,0.019328039961731856,1.0,5500,20,0.0167599657943293,P3,P5,encoded_column,1000
legacy_sdr,0.01954067708179532,0.009952450166925223,0.02979898176456208,1.0,5500,20,0.023668095493488854,P3,P5,encoded_column,2000
legacy_sdr,0.0063684789597549685,0.0010210376408211533,0.012975026682662044,0.993,5500,20,0.014122158512970199,P3,P5,semantic_group,500
legacy_sdr,0.014905817366909093,0.00629894555914633,0.024407681663786047,0.9998,5500,20,0.02136963162166883,P3,P5,semantic_group,1000
legacy_sdr,0.023381994369351667,0.010872546011075407,0.03764636032381478,1.0,5500,20,0.03118307103378334,P3,P5,semantic_group,2000
legacy_sdr,0.005530145089487028,2.1138780464813894e-05,0.012082454570999665,0.9758,5500,20,0.014070061099710597,P3,P6,encoded_column,500
legacy_sdr,0.007583342665215735,0.0015013233104345261,0.014168090732010464,0.9928,5500,20,0.015015090614169644,P3,P6,encoded_column,1000
legacy_sdr,0.016410698256786593,0.006777583952356384,0.02702287910206209,1.0,5500,20,0.02330078616063928,P3,P6,encoded_column,2000
legacy_sdr,0.007416140243247433,0.001771797884705893,0.01384608069982363,0.9984,5500,20,0.014329756742725264,P3,P6,semantic_group,500
legacy_sdr,0.009227661838064477,0.0007772171834536848,0.018068543372551562,0.9858,5500,20,0.020339878259946848,P3,P6,semantic_group,1000
legacy_sdr,0.01099623388262983,-0.0025704359087629627,0.02569559725970844,0.94,5500,20,0.032675972607767875,P3,P6,semantic_group,2000
legacy_sdr,7.765016201191261e-05,-0.0016431369518293663,0.0020768035367455385,0.5096,5500,20,0.004285088446436958,P4,P5,encoded_column,500
legacy_sdr,-0.0010680974563453275,-0.0033035397851094235,0.001263952040728349,0.1746,5500,20,0.005207107357812592,P4,P5,encoded_column,1000
legacy_sdr,-0.004001407264198066,-0.007506737176748764,-0.0010680219917656875,0.0032,5500,20,0.007642478996986559,P4,P5,encoded_column,2000
legacy_sdr,0.0005968977247731503,-0.0010492997116439704,0.0024139007913121795,0.7356,5500,20,0.004190458500223605,P4,P5,semantic_group,500
legacy_sdr,-0.0036364347096557877,-0.007014514211804554,-0.00016351125970658412,0.02,5500,20,0.008089232285822564,P4,P5,semantic_group,1000
