run_id,intervention,dataset_index,mechanism,strength,seed,model,status,failure_reason,strict_auc,full_auc,paired_harm,best_epoch_strict,best_epoch_full,device,runtime_sec,retrieval_strict_k1_purity,retrieval_full_k1_purity,retrieval_strict_k5_purity,retrieval_full_k5_purity,neighbor_overlap_k5,strict_proba_hash,full_proba_hash
907c871a96b4d42e111d,I2_permuted,0,M04,S1,13,tabm,SUCCESS,,0.684375,0.6771874999999999,-0.007187500000000013,7,8,cpu,27.8,,,,,,4473436aa2c00478536ab369a62c332554b6ec2aa0ec9e75391b13bf2d6cf165,adb3e9e6594aa7febe79cb7a46abd0d07104f5ba2cb78a352705e460f560af93
12d8458c9a29af17dfc6,I2_permuted,0,M04,S1,42,tabm,SUCCESS,,0.6717708333333333,0.6648958333333334,-0.0068749999999999645,6,3,cpu,55.3,,,,,,02babe2a48946bddc849faef66ea47ae3e6a5923041cd0527930baa2a2607449,57c55baf7003064a61173e71f0d3de8dd323f31aaed93dddd6ad1a85346009f3
edc9bc6295485831ead7,I2_permuted,0,M04,S1,2026,tabm,SUCCESS,,0.6692708333333334,0.6665625,-0.0027083333333334236,6,6,cpu,83.9,,,,,,19bbef34222fbc0b92e913cf9754e19f30ea837525e33f5b3ebbc9baa5499738,43d2316f93a4338d37002af1cbea5785ae50a84f5852a1615df4fd60ae7b9ddb
a4c3430b578a8556708a,I2_permuted,0,M04,S1,3407,tabm,SUCCESS,,0.6797916666666666,0.669375,-0.010416666666666519,4,4,cpu,112.8,,,,,,74963572635bf0b4f5b02441b728896dca516ef744f5db077b1e65c3a814ffd5,40c7427a5fbc235817404c2851cb566313fe430635392510578f137c2f566481
ff45444ec7efec01dd1b,I2_permuted,0,M04,S1,7777,tabm,SUCCESS,,0.6510416666666666,0.6575,0.006458333333333344,4,4,cpu,141.6,,,,,,737272779b642c25913e78300535b74b6c99c3d25fcdf3ae748ddc7d4b747043,19cb5b9a7ab6e5e29d6eeabb7a424949f32dda621851d8bbef42cdf4cf13bcf9
5e64e06bc182faf9ba68,I2_permuted,0,M04,S2,13,tabm,SUCCESS,,0.684375,0.6786458333333333,-0.005729166666666674,7,8,cpu,170.4,,,,,,4473436aa2c00478536ab369a62c332554b6ec2aa0ec9e75391b13bf2d6cf165,f7acb6adb280484bf83f394ea674800c4b1655c00b56fcd40cab6f475ada33b4
4f33b11dd56dc1f3f2cb,I2_permuted,0,M04,S2,42,tabm,SUCCESS,,0.6717708333333333,0.6606249999999999,-0.01114583333333341,6,3,cpu,200.0,,,,,,02babe2a48946bddc849faef66ea47ae3e6a5923041cd0527930baa2a2607449,c336f8eb20e00e9a88611332b69fd41b9c2b5e7f80427cb75760e23ab132f84c
cddb9ca25e33e5572b60,I2_permuted,0,M04,S2,2026,tabm,SUCCESS,,0.6692708333333334,0.6678125,-0.0014583333333333393,6,6,cpu,229.1,,,,,,19bbef34222fbc0b92e913cf9754e19f30ea837525e33f5b3ebbc9baa5499738,a7838404f50cc09f887eedad3446a405a316a64f841cb70fa09082f29d528334
de0f4a896fb5be0bde6e,I2_permuted,0,M04,S2,3407,tabm,SUCCESS,,0.6797916666666666,0.6707291666666667,-0.009062499999999862,4,4,cpu,258.3,,,,,,74963572635bf0b4f5b02441b728896dca516ef744f5db077b1e65c3a814ffd5,2b4f97e23fe87fae5141e768f03b229e60ec2b3a90bc51bca59a773b8d88f2e9
1b08d8a018b4e6b0a1d4,I2_permuted,0,M04,S2,7777,tabm,SUCCESS,,0.6510416666666666,0.6544791666666667,0.0034375000000000933,4,4,cpu,287.6,,,,,,737272779b642c25913e78300535b74b6c99c3d25fcdf3ae748ddc7d4b747043,73904263bdfb907e35634d5ee1f1984de346d639c6f6efed3b86c93b8c93164a
