ds,mech,str,model,seed,clean_auc,full_auc,inflation,n_leak
ds_0,M01,0.1,lr,13,0.9419191919191919,0.946969696969697,0.005050505050505083,1
ds_0,M01,0.1,catboost,13,0.9079685746352413,0.9997194163860831,0.0917508417508418,1
ds_0,M01,0.1,lr,42,0.9419191919191919,0.946969696969697,0.005050505050505083,1
ds_0,M01,0.1,catboost,42,0.914983164983165,1.0,0.08501683501683499,1
ds_0,M01,0.1,lr,2026,0.9419191919191919,0.946969696969697,0.005050505050505083,1
ds_0,M01,0.1,catboost,2026,0.9166666666666666,1.0,0.08333333333333337,1
ds_0,M01,0.5,lr,13,0.9419191919191919,0.9977553310886644,0.0558361391694725,1
ds_0,M01,0.5,catboost,13,0.9079685746352413,0.9997194163860831,0.0917508417508418,1
ds_0,M01,0.5,lr,42,0.9419191919191919,0.9977553310886644,0.0558361391694725,1
ds_0,M01,0.5,catboost,42,0.914983164983165,1.0,0.08501683501683499,1
ds_0,M01,0.5,lr,2026,0.9419191919191919,0.9977553310886644,0.0558361391694725,1
ds_0,M01,0.5,catboost,2026,0.9166666666666666,1.0,0.08333333333333337,1
ds_0,M01,1.0,lr,13,0.9419191919191919,1.0,0.058080808080808066,1
ds_0,M01,1.0,catboost,13,0.9079685746352413,0.9997194163860831,0.0917508417508418,1
ds_0,M01,1.0,lr,42,0.9419191919191919,1.0,0.058080808080808066,1
ds_0,M01,1.0,catboost,42,0.914983164983165,1.0,0.08501683501683499,1
ds_0,M01,1.0,lr,2026,0.9419191919191919,1.0,0.058080808080808066,1
ds_0,M01,1.0,catboost,2026,0.9166666666666666,1.0,0.08333333333333337,1
ds_0,M02,0.1,lr,13,0.9609988776655444,0.9660493827160495,0.005050505050505083,1
ds_0,M02,0.1,catboost,13,0.9480920314253648,0.999438832772166,0.05134680134680125,1
ds_0,M02,0.1,lr,42,0.9609988776655444,0.9660493827160495,0.005050505050505083,1
ds_0,M02,0.1,catboost,42,0.9472502805836139,1.0,0.052749719416386065,1
ds_0,M02,0.1,lr,2026,0.9609988776655444,0.9660493827160495,0.005050505050505083,1
