dataset_index,mechanism,strength,model,seed,strict_auc,full_auc,paired_harm,mechanism_category,evidence_tier
0,M01,S1,modernnca,13,0.6945833333333334,0.7142708333333333,0.0196874999999998,simple,SP6_MODEL_EXPANSION
0,M01,S1,modernnca,42,0.6257291666666668,0.6660416666666668,0.0403124999999999,simple,SP6_MODEL_EXPANSION
0,M01,S1,modernnca,2026,0.6918750000000001,0.7072916666666668,0.0154166666666666,simple,SP6_MODEL_EXPANSION
0,M01,S1,modernnca,3407,0.6591666666666667,0.6410416666666666,-0.018125,simple,SP6_MODEL_EXPANSION
0,M01,S1,modernnca,7777,0.6529166666666666,0.6941666666666667,0.0412500000000001,simple,SP6_MODEL_EXPANSION
0,M01,S2,modernnca,13,0.6945833333333334,0.7928125,0.0982291666666665,simple,SP6_MODEL_EXPANSION
0,M01,S2,modernnca,42,0.6257291666666668,0.7363541666666666,0.1106249999999998,simple,SP6_MODEL_EXPANSION
0,M01,S2,modernnca,2026,0.6918750000000001,0.8029166666666666,0.1110416666666664,simple,SP6_MODEL_EXPANSION
0,M01,S2,modernnca,3407,0.6591666666666667,0.7619791666666668,0.1028125,simple,SP6_MODEL_EXPANSION
0,M01,S2,modernnca,7777,0.6529166666666666,0.7741666666666666,0.1212499999999999,simple,SP6_MODEL_EXPANSION
0,M01,S3,modernnca,13,0.6945833333333334,0.8775,0.1829166666666665,simple,SP6_MODEL_EXPANSION
0,M01,S3,modernnca,42,0.6257291666666668,0.8035416666666667,0.1778124999999999,simple,SP6_MODEL_EXPANSION
0,M01,S3,modernnca,2026,0.6918750000000001,0.8847916666666666,0.1929166666666665,simple,SP6_MODEL_EXPANSION
0,M01,S3,modernnca,3407,0.6591666666666667,0.8224999999999999,0.1633333333333332,simple,SP6_MODEL_EXPANSION
0,M01,S3,modernnca,7777,0.6529166666666666,0.8547916666666667,0.2018750000000001,simple,SP6_MODEL_EXPANSION
0,M01,S4,modernnca,13,0.6945833333333334,0.9707291666666664,0.2761458333333331,simple,SP6_MODEL_EXPANSION
0,M01,S4,modernnca,42,0.6257291666666668,0.8821875,0.2564583333333332,simple,SP6_MODEL_EXPANSION
0,M01,S4,modernnca,2026,0.6918750000000001,0.9377083333333333,0.2458333333333331,simple,SP6_MODEL_EXPANSION
0,M01,S4,modernnca,3407,0.6591666666666667,0.9338541666666668,0.2746875,simple,SP6_MODEL_EXPANSION
0,M01,S4,modernnca,7777,0.6529166666666666,0.9266666666666666,0.27375,simple,SP6_MODEL_EXPANSION
0,M01,S5,modernnca,13,0.6945833333333334,1.0,0.3054166666666665,simple,SP6_MODEL_EXPANSION
0,M01,S5,modernnca,42,0.6257291666666668,1.0,0.3742708333333332,simple,SP6_MODEL_EXPANSION
0,M01,S5,modernnca,2026,0.6918750000000001,1.0,0.3081249999999998,simple,SP6_MODEL_EXPANSION
0,M01,S5,modernnca,3407,0.6591666666666667,1.0,0.3408333333333333,simple,SP6_MODEL_EXPANSION
0,M01,S5,modernnca,7777,0.6529166666666666,1.0,0.3470833333333334,simple,SP6_MODEL_EXPANSION
0,M02,S1,modernnca,13,0.6945833333333334,0.7417708333333333,0.0471874999999998,simple,SP6_MODEL_EXPANSION
0,M02,S1,modernnca,42,0.6257291666666668,0.7040625,0.0783333333333332,simple,SP6_MODEL_EXPANSION
0,M02,S1,modernnca,2026,0.6918750000000001,0.6844791666666667,-0.0073958333333333,simple,SP6_MODEL_EXPANSION
0,M02,S1,modernnca,3407,0.6591666666666667,0.6938541666666667,0.0346874999999999,simple,SP6_MODEL_EXPANSION
0,M02,S1,modernnca,7777,0.6529166666666666,0.7745833333333333,0.1216666666666667,simple,SP6_MODEL_EXPANSION
0,M02,S2,modernnca,13,0.6945833333333334,0.82125,0.1266666666666666,simple,SP6_MODEL_EXPANSION
0,M02,S2,modernnca,42,0.6257291666666668,0.8144791666666666,0.1887499999999998,simple,SP6_MODEL_EXPANSION
0,M02,S2,modernnca,2026,0.6918750000000001,0.8073958333333333,0.1155208333333331,simple,SP6_MODEL_EXPANSION
0,M02,S2,modernnca,3407,0.6591666666666667,0.8315625,0.1723958333333333,simple,SP6_MODEL_EXPANSION
0,M02,S2,modernnca,7777,0.6529166666666666,0.8460416666666667,0.1931250000000001,simple,SP6_MODEL_EXPANSION
0,M02,S3,modernnca,13,0.6945833333333334,0.9055208333333332,0.2109374999999999,simple,SP6_MODEL_EXPANSION
0,M02,S3,modernnca,42,0.6257291666666668,0.9029166666666668,0.2771874999999999,simple,SP6_MODEL_EXPANSION
0,M02,S3,modernnca,2026,0.6918750000000001,0.9038541666666668,0.2119791666666666,simple,SP6_MODEL_EXPANSION
0,M02,S3,modernnca,3407,0.6591666666666667,0.8183333333333335,0.1591666666666668,simple,SP6_MODEL_EXPANSION
0,M02,S3,modernnca,7777,0.6529166666666666,0.9145833333333332,0.2616666666666667,simple,SP6_MODEL_EXPANSION
0,M02,S4,modernnca,13,0.6945833333333334,0.9592708333333332,0.2646874999999998,simple,SP6_MODEL_EXPANSION
0,M02,S4,modernnca,42,0.6257291666666668,0.9559375,0.3302083333333332,simple,SP6_MODEL_EXPANSION
0,M02,S4,modernnca,2026,0.6918750000000001,0.9575,0.2656249999999999,simple,SP6_MODEL_EXPANSION
0,M02,S4,modernnca,3407,0.6591666666666667,0.95,0.2908333333333333,simple,SP6_MODEL_EXPANSION
0,M02,S4,modernnca,7777,0.6529166666666666,0.9601041666666666,0.3071875,simple,SP6_MODEL_EXPANSION
0,M02,S5,modernnca,13,0.6945833333333334,0.9878125,0.2932291666666665,simple,SP6_MODEL_EXPANSION
0,M02,S5,modernnca,42,0.6257291666666668,0.9802083333333336,0.3544791666666667,simple,SP6_MODEL_EXPANSION
0,M02,S5,modernnca,2026,0.6918750000000001,0.9842708333333332,0.2923958333333332,simple,SP6_MODEL_EXPANSION
0,M02,S5,modernnca,3407,0.6591666666666667,0.978125,0.3189583333333333,simple,SP6_MODEL_EXPANSION
0,M02,S5,modernnca,7777,0.6529166666666666,0.9823958333333334,0.3294791666666667,simple,SP6_MODEL_EXPANSION
0,M03,S1,modernnca,13,0.6945833333333334,0.8296875,0.1351041666666665,boundary,SP6_MODEL_EXPANSION
0,M03,S1,modernnca,42,0.6257291666666668,0.7811458333333333,0.1554166666666665,boundary,SP6_MODEL_EXPANSION
0,M03,S1,modernnca,2026,0.6918750000000001,0.7628125,0.0709374999999998,boundary,SP6_MODEL_EXPANSION
0,M03,S1,modernnca,3407,0.6591666666666667,0.7605208333333334,0.1013541666666667,boundary,SP6_MODEL_EXPANSION
0,M03,S1,modernnca,7777,0.6529166666666666,0.7738541666666667,0.1209375000000001,boundary,SP6_MODEL_EXPANSION
0,M03,S2,modernnca,13,0.6945833333333334,0.959375,0.2647916666666666,boundary,SP6_MODEL_EXPANSION
0,M03,S2,modernnca,42,0.6257291666666668,0.9683333333333334,0.3426041666666666,boundary,SP6_MODEL_EXPANSION
0,M03,S2,modernnca,2026,0.6918750000000001,0.931875,0.2399999999999998,boundary,SP6_MODEL_EXPANSION
0,M03,S2,modernnca,3407,0.6591666666666667,0.9105208333333332,0.2513541666666665,boundary,SP6_MODEL_EXPANSION
0,M03,S2,modernnca,7777,0.6529166666666666,0.9448958333333334,0.2919791666666668,boundary,SP6_MODEL_EXPANSION
0,M03,S3,modernnca,13,0.6945833333333334,0.9901041666666668,0.2955208333333332,boundary,SP6_MODEL_EXPANSION
0,M03,S3,modernnca,42,0.6257291666666668,0.9926041666666668,0.3668749999999999,boundary,SP6_MODEL_EXPANSION
0,M03,S3,modernnca,2026,0.6918750000000001,0.9910416666666666,0.2991666666666664,boundary,SP6_MODEL_EXPANSION
0,M03,S3,modernnca,3407,0.6591666666666667,0.9878125,0.3286458333333333,boundary,SP6_MODEL_EXPANSION
0,M03,S3,modernnca,7777,0.6529166666666666,0.9967708333333332,0.3438541666666667,boundary,SP6_MODEL_EXPANSION
0,M03,S4,modernnca,13,0.6945833333333334,0.9973958333333331,0.3028124999999998,boundary,SP6_MODEL_EXPANSION
0,M03,S4,modernnca,42,0.6257291666666668,0.9969791666666666,0.3712499999999998,boundary,SP6_MODEL_EXPANSION
0,M03,S4,modernnca,2026,0.6918750000000001,0.998125,0.3062499999999998,boundary,SP6_MODEL_EXPANSION
0,M03,S4,modernnca,3407,0.6591666666666667,0.9954166666666666,0.3362499999999999,boundary,SP6_MODEL_EXPANSION
0,M03,S4,modernnca,7777,0.6529166666666666,0.9992708333333332,0.3463541666666667,boundary,SP6_MODEL_EXPANSION
0,M03,S5,modernnca,13,0.6945833333333334,0.9997916666666666,0.3052083333333332,boundary,SP6_MODEL_EXPANSION
0,M03,S5,modernnca,42,0.6257291666666668,0.9991666666666666,0.3734374999999998,boundary,SP6_MODEL_EXPANSION
0,M03,S5,modernnca,2026,0.6918750000000001,0.9995833333333334,0.3077083333333332,boundary,SP6_MODEL_EXPANSION
0,M03,S5,modernnca,3407,0.6591666666666667,0.9978125,0.3386458333333333,boundary,SP6_MODEL_EXPANSION
0,M03,S5,modernnca,7777,0.6529166666666666,0.9996875,0.3467708333333333,boundary,SP6_MODEL_EXPANSION
0,M04,S1,modernnca,13,0.6945833333333334,0.6898958333333333,-0.0046875000000001,structured,SP6_MODEL_EXPANSION
0,M04,S1,modernnca,42,0.6257291666666668,0.6563541666666666,0.0306249999999997,structured,SP6_MODEL_EXPANSION
0,M04,S1,modernnca,2026,0.6918750000000001,0.5842708333333333,-0.1076041666666668,structured,SP6_MODEL_EXPANSION
0,M04,S1,modernnca,3407,0.6591666666666667,0.6523958333333333,-0.0067708333333333,structured,SP6_MODEL_EXPANSION
0,M04,S1,modernnca,7777,0.6529166666666666,0.6380208333333333,-0.0148958333333333,structured,SP6_MODEL_EXPANSION
0,M04,S2,modernnca,13,0.6945833333333334,0.6901041666666667,-0.0044791666666667,structured,SP6_MODEL_EXPANSION
0,M04,S2,modernnca,42,0.6257291666666668,0.6597916666666667,0.0340624999999998,structured,SP6_MODEL_EXPANSION
0,M04,S2,modernnca,2026,0.6918750000000001,0.6231249999999999,-0.0687500000000002,structured,SP6_MODEL_EXPANSION
0,M04,S2,modernnca,3407,0.6591666666666667,0.650625,-0.0085416666666666,structured,SP6_MODEL_EXPANSION
