dataset_index,legacy_sdr,directional_repair,same_side_residual,overcorrection,leak_recall,deletion_precision,legit_retention,introduced_distortion,learner,archetype
0,0.08154032763636367,0.07816988745454548,-0.07816988745454548,-0.003331557454545471,0.2881287878787879,0.2007121212121212,0.05680885780885781,-3.8882727272727465e-05,LR,linear
1,0.09790008163636364,0.11776046145454545,-0.11776046145454545,0.019373512181818174,0.35796212121212123,0.2063878787878788,0.051312834224598924,0.00048686763636363565,LR,interaction
2,0.08911506490909087,0.10129682909090908,-0.10129682909090908,0.012181764181818206,0.4543712121212121,0.21103333333333335,0.051206060606060595,0.0,LR,nonlinear
3,-0.18019982418181815,0.027102693636363646,-0.02710269363636365,0.20619304036363637,0.37315909090909094,0.15965454545454547,0.03702878787878787,0.0011094774545454544,LR,sparse
4,0.05763723236363634,0.0840710558181818,-0.0840710558181818,0.02599207927272729,0.39478030303030304,0.23416666666666666,0.06495804195804196,0.0004417441818181819,LR,drifting
5,0.07855957145454547,0.08270246236363636,-0.08270246236363636,0.004142890909090904,0.28165151515151515,0.17164848484848486,0.04329545454545455,0.0,LR,linear
6,0.10853356763636361,0.10520337436363635,-0.10520337436363635,-0.0031603121818181796,0.4874545454545455,0.21944848484848486,0.05277705627705625,-0.00016988109090909103,LR,interaction
7,0.07723972818181815,0.11149100436363635,-0.11149100436363635,0.03425127618181818,0.4162121212121212,0.17656969696969696,0.04094242424242425,0.0,LR,nonlinear
8,-0.09828232181818186,0.0374385298181818,-0.0374385298181818,0.13489831490909093,0.3444242424242424,0.21821212121212122,0.06106643356643359,0.0008225367272727274,LR,sparse
9,0.11183734945454549,0.12570638254545458,-0.12570638254545458,0.013826248363636355,0.3835,0.2136151515151515,0.05268181818181819,4.2784727272727375e-05,LR,drifting
10,0.06513122163636366,0.06869719890909093,-0.06869719890909093,0.0036629467272727176,0.5093333333333333,0.24098484848484847,0.058961038961038964,-9.696945454545435e-05,LR,linear
11,0.13461162472727276,0.1328255529090909,-0.1328255529090909,-0.0017660596363636455,0.4474166666666667,0.1935939393939394,0.04501515151515153,-2.001218181818178e-05,LR,interaction
12,0.033648224363636375,0.05179895327272728,-0.05179895327272728,0.0181507289090909,0.31855303030303034,0.21625757575757576,0.061164335664335684,0.0,LR,nonlinear
13,-0.08852806163636363,0.025646728181818183,-0.025646728181818183,0.11303643145454546,0.36427272727272725,0.2031909090909091,0.050130347593582904,0.0011383583636363638,LR,sparse
14,0.07217217309090912,0.111354332,-0.111354332,0.03863018527272726,0.42531060606060606,0.2023030303030303,0.049117748917748914,0.0005519736363636359,LR,drifting
15,0.07109518945454545,0.09251068690909091,-0.09251068690909091,0.021328377636363645,0.47840151515151513,0.18792121212121213,0.04330454545454545,8.711981818181833e-05,LR,linear
16,0.08743801945454541,0.0940306587272727,-0.0940306587272727,0.006605368363636392,0.3931818181818182,0.23387878787878785,0.0648939393939394,-1.2729090909090732e-05,LR,interaction
17,0.07938469000000002,0.09547170581818182,-0.09547170581818182,0.016040730909090896,0.4390075757575757,0.24205454545454544,0.059435828877005346,4.6284909090909254e-05,LR,nonlinear
18,-0.10631772090909093,0.047484436,-0.047484436,0.1524613272727273,0.43374242424242426,0.20387878787878788,0.049458874458874445,0.001340829636363636,LR,sparse
19,0.09575243963636366,0.10206298163636364,-0.10206298163636364,0.0063357889090908896,0.46308333333333335,0.18278181818181818,0.04210000000000001,-2.5246909090909527e-05,LR,drifting
0,0.08598366945454544,0.08685181345454546,-0.08685181345454546,0.0008681440000000085,0.2881287878787879,0.2007121212121212,0.05680885780885781,0.0,RF,linear
1,0.08492995618181813,0.11996359890909089,-0.11996359890909089,0.03503364272727275,0.35796212121212123,0.2063878787878788,0.051312834224598924,0.0,RF,interaction
2,0.06616481963636361,0.09904223745454545,-0.09904223745454545,0.032877417818181834,0.4543712121212121,0.21103333333333335,0.051206060606060595,0.0,RF,nonlinear
3,-0.08316513054545453,0.06626538872727272,-0.06626538872727272,0.14943051927272727,0.37315909090909094,0.15965454545454547,0.03702878787878787,0.0,RF,sparse
4,0.07873810327272728,0.10205004763636365,-0.10205004763636365,0.02331194436363636,0.39478030303030304,0.23416666666666666,0.06495804195804196,0.0,RF,drifting
5,0.08751169981818181,0.09846257418181818,-0.09846257418181818,0.010950874363636369,0.28165151515151515,0.17164848484848486,0.04329545454545455,0.0,RF,linear
6,0.12224826236363635,0.127232408,-0.127232408,0.0049841456363636455,0.4874545454545455,0.21944848484848486,0.05277705627705625,0.0,RF,interaction
7,0.04300336218181818,0.113667086,-0.113667086,0.07066372381818183,0.4162121212121212,0.17656969696969696,0.04094242424242425,0.0,RF,nonlinear
8,-0.03108472454545455,0.06946592054545454,-0.06946592054545454,0.10055064509090911,0.3444242424242424,0.21821212121212122,0.06106643356643359,0.0,RF,sparse
9,0.12942702254545455,0.1320719510909091,-0.13207195109090908,0.0026449285454545534,0.3835,0.2136151515151515,0.05268181818181819,0.0,RF,drifting
10,0.08185212963636362,0.07937898636363637,-0.07937898636363637,-0.0025292645454545403,0.5093333333333333,0.24098484848484847,0.058961038961038964,5.6121272727272745e-05,RF,linear
11,0.13545678927272725,0.13435970127272728,-0.13435970127272728,-0.0010970879999999954,0.4474166666666667,0.1935939393939394,0.04501515151515153,0.0,RF,interaction
12,0.04359525072727273,0.050263668909090904,-0.050263668909090904,0.006668418181818181,0.31855303030303034,0.21625757575757576,0.061164335664335684,0.0,RF,nonlinear
13,-0.08285688418181818,0.05955191672727273,-0.05955191672727273,0.1424088009090909,0.36427272727272725,0.2031909090909091,0.050130347593582904,0.0,RF,sparse
14,0.06352714963636365,0.10771720181818183,-0.10771720181818183,0.044008564,0.42531060606060606,0.2023030303030303,0.049117748917748914,0.00018148818181818163,RF,drifting
15,0.09477976145454545,0.11280550727272727,-0.11280550727272727,0.018025745818181827,0.47840151515151513,0.18792121212121213,0.04330454545454545,0.0,RF,linear
16,0.08222650672727272,0.0736717409090909,-0.0736717409090909,-0.008554765818181815,0.3931818181818182,0.23387878787878785,0.0648939393939394,0.0,RF,interaction
17,0.05736282309090912,0.10321028872727274,-0.10321028872727274,0.04584746563636362,0.4390075757575757,0.24205454545454544,0.059435828877005346,0.0,RF,nonlinear
18,-0.07392951472727276,0.07965668636363635,-0.07965668636363635,0.1535862010909091,0.43374242424242426,0.20387878787878788,0.049458874458874445,0.0,RF,sparse
19,0.10910806690909089,0.11235114036363635,-0.11235114036363635,0.0032430734545454607,0.46308333333333335,0.18278181818181818,0.04210000000000001,0.0,RF,drifting
