dataset_index,mechanism,strength,training_seed,strict_auc_sp8,strict_auc_b1,strict_diff,full_auc_sp8,full_auc_b1,full_diff,gap_diff,exact_match,within_1e_8,within_1e_6
0,M01,S1,13,0.689792,0.689792,0.0,0.713333,0.713333,0.0,0.0,True,True,True
0,M01,S1,42,0.689792,0.689792,0.0,0.700729,0.700729,0.0,0.0,True,True,True
0,M01,S1,2026,0.689792,0.689792,0.0,0.721458,0.721458,0.0,0.0,True,True,True
0,M01,S1,3407,0.689792,0.689792,0.0,0.716667,0.716667,0.0,0.0,True,True,True
0,M01,S1,7777,0.689792,0.689792,0.0,0.717396,0.717396,0.0,0.0,True,True,True
0,M01,S2,13,0.689792,0.689792,0.0,0.781979,0.781979,0.0,0.0,True,True,True
0,M01,S2,42,0.689792,0.689792,0.0,0.767396,0.767396,0.0,0.0,True,True,True
0,M01,S2,2026,0.689792,0.689792,0.0,0.811146,0.811146,0.0,0.0,True,True,True
0,M01,S2,3407,0.689792,0.689792,0.0,0.780312,0.780312,0.0,0.0,True,True,True
0,M01,S2,7777,0.689792,0.689792,0.0,0.775208,0.775208,0.0,0.0,True,True,True
0,M01,S3,13,0.689792,0.689792,0.0,0.874375,0.874375,0.0,0.0,True,True,True
0,M01,S3,42,0.689792,0.689792,0.0,0.833854,0.833854,0.0,0.0,True,True,True
0,M01,S3,2026,0.689792,0.689792,0.0,0.882188,0.882188,0.0,0.0,True,True,True
0,M01,S3,3407,0.689792,0.689792,0.0,0.881146,0.881146,0.0,0.0,True,True,True
0,M01,S3,7777,0.689792,0.689792,0.0,0.850521,0.850521,0.0,0.0,True,True,True
0,M01,S4,13,0.689792,0.689792,0.0,0.963021,0.963021,0.0,0.0,True,True,True
0,M01,S4,42,0.689792,0.689792,0.0,0.897188,0.897188,0.0,0.0,True,True,True
0,M01,S4,2026,0.689792,0.689792,0.0,0.943437,0.943437,0.0,0.0,True,True,True
0,M01,S4,3407,0.689792,0.689792,0.0,0.957083,0.957083,0.0,0.0,True,True,True
