iter	Logloss
0	0.607989787
1	0.5271423868
2	0.4582974513
3	0.4069652582
4	0.3480137526
5	0.313010917
6	0.2808326767
7	0.2482016598
8	0.2169240396
9	0.1924816332
10	0.172246609
11	0.1562649813
12	0.1421754983
13	0.1262600027
14	0.1146714977
15	0.1043486638
16	0.09435437861
17	0.08535414294
18	0.0776701682
19	0.07137222075
20	0.06575232262
21	0.06139422382
22	0.05764762186
23	0.05305895385
24	0.04845743979
25	0.04456711425
26	0.04089146838
27	0.03875342373
28	0.03643546589
29	0.03451215667
30	0.03229650832
31	0.03027182715
