row_type,result_id,label,category,estimate,ci_low,ci_high,holm_p,primary_detectability,detectability_ci_low,detectability_ci_high,strength_slope,strength_ci_low,strength_ci_high,claim_id,interpretation_status
category_contrast,C1,Simple minus structured,category_contrast,0.1643289440516624,0.1503292827204515,0.1782402631102302,5.7220458984375e-06,,,,,,,simple_vs_structured,SUPPORTED
mechanism_profile,M01,Direct Target Copy,simple,0.1802286270420869,0.1643312289558528,0.1963237662184874,0.0001099989000109999,0.8437658396464646,0.8172365508958636,0.8703505812590188,0.11195941192891858,0.10466386890129649,0.11893485507453765,,DESCRIPTIVE_ONLY
mechanism_profile,M02,Noisy Target Proxy,simple,0.2036837822535385,0.18555980247060533,0.22190773754404647,0.0001099989000109999,0.9177541203703703,0.8949557314814816,0.9404654976851851,0.09299708531547496,0.0866241997820531,0.09910578640371588,,DESCRIPTIVE_ONLY
mechanism_profile,M03,Nonlinear Target Transform,boundary,0.21746043023151657,0.20115265957446782,0.2343685834954036,0.0001099989000109999,0.07927277370791688,0.04519435933365415,0.12792344363330377,0.047770457719882996,0.044504984283355885,0.051012501373421656,m03_profile,DESCRIPTIVE_ONLY
mechanism_profile,M04,Post-Outcome Aggregation,structured,-0.0012494695972672042,-0.003504776191017761,0.0008101618350637715,0.5370246297537025,0.08050039035354048,0.06312069463953586,0.0999872855581309,-0.00019338816464102354,-0.0007662013412012411,0.00037704061890960324,,DESCRIPTIVE_ONLY
mechanism_profile,M05,Temporal Look-Ahead,structured,-0.001205636084117859,-0.0033074903365020035,0.0006478701049588594,0.5370246297537025,0.08360565683649852,0.05883619862807077,0.11620328993402423,0.00025599431118679546,-0.0003493333616475664,0.0008454670658925053,,DESCRIPTIVE_ONLY
mechanism_profile,M06,Redundant Leakage Cluster,simple,0.2837472164365661,0.26130906023987505,0.30612302575562966,0.0001099989000109999,0.997875,0.9925625,1.0,0.0669362561702022,0.0628637738113357,0.07076372788506244,,DESCRIPTIVE_ONLY
mechanism_profile,M07,Sparse Subgroup Leakage,boundary,0.12372618182026597,0.11428951219752216,0.1329771043192655,0.0001099989000109999,0.8126824520387019,0.7789652787663724,0.8481870466524215,0.08692185759183707,0.08050165899089126,0.09304706398258719,,DESCRIPTIVE_ONLY
mechanism_profile,M08,Entity Leakage,structured,0.003304207170727691,-0.0022998672597036767,0.008515995683399348,0.5370246297537025,0.3561020195070524,0.26211633570413506,0.45611791345149727,0.004009228996245549,0.0019347187073643754,0.00616410708423901,m08_profile,DESCRIPTIVE_ONLY
mechanism_profile,M09,Source Leakage,structured,0.23506295291218185,0.21588568568933347,0.2544536051810691,0.0001099989000109999,0.5414811065748634,0.5002817541835235,0.5841973523801262,0.08476961542429615,0.0795399903591014,0.08989514793155619,m09_counterexample,DESCRIPTIVE_ONLY
mechanism_profile,M10,Mixed Leakage,simple,0.22556820487598264,0.20607983804307914,0.24501745611449868,0.0001099989000109999,0.9440187519931049,0.9220468344753285,0.9655468325576385,0.09099928138064703,0.08492114969858362,0.09684385530383423,,DESCRIPTIVE_ONLY
mechanism_profile,M11,Graph-Mediated Leakage,boundary,0.2863420968630607,0.26324411862384267,0.30929367053604867,0.0001099989000109999,0.8293986644632133,0.807235896980134,0.8515860447564274,0.06143361975201335,0.056242183674204825,0.06694309349142581,,DESCRIPTIVE_ONLY
