run_id,dataset_index,mechanism,strength,training_seed,governance_seed,policy,budget_fraction,budget_groups,removed_group_count,removed_column_count,status,failure_reason,strict_auc,full_auc,governed_auc,initial_gap,strict_distance_reduction,removed_leak_count,leak_recall,legit_retention,selection_group_hash,selection_column_hash
ee2ba2e2f80b5497ee6d,0,M09,S1,13,-1,P3_blind_mi,0.2,3,3,10,SUCCESS,,0.689792,0.753021,0.6873958333333333,0.06322900000000009,0.06083283333333345,8,1.0,0.8333333333333334,a7478814d1c2f60edcfbbd6405dbe81866c4fa59a6d61b7bb165c974130aca4b,ba7ff8730e3610f8499b721e6336d1eaddef1036e4908047cdcfe6f762da0d9c
4f4961f6d273d40ad103,0,M09,S1,13,2026071700,P2_random,0.2,3,3,10,SUCCESS,,0.689792,0.753021,0.6864583333333333,0.06322900000000009,0.05989533333333341,8,1.0,0.8333333333333334,2ceec904c129233dc754d7ee6f6fddf7b2266181a6dab6df40690f1b7b775550,28d77df31942981b8deef8eeb0cbd4bf52c0cc13d22894edd0a9cab5a35225f7
468234bd8a11ceb3a8ed,0,M09,S1,13,2026071701,P2_random,0.2,3,3,10,SUCCESS,,0.689792,0.753021,0.6616666666666666,0.06322900000000009,0.035103666666666755,8,1.0,0.8333333333333334,cfe2428cdcf9b80facabb1caad62b40c33b6fa735b84f76dfe7c9cffacffb6e3,8082f784ae768ca1a65ca1c3d48426a6dc2282a41d72d776e4e9bf80dc414d02
a2204698722cc4678c15,0,M09,S1,13,2026071702,P2_random,0.2,3,3,3,SUCCESS,,0.689792,0.753021,0.7573958333333334,0.06322900000000009,-0.004374833333333328,0,0.0,0.75,f5f95f89accb7ee4a74578ddb6e10a7ed11fa5ec6fc156b106491d8c125587a7,8c3392a59051fec7da4f6a049313b17cfa8c12fc475c2fe73757107e16f41b51
262cc0e392daeff342e4,0,M09,S1,13,2026071703,P2_random,0.2,3,3,3,SUCCESS,,0.689792,0.753021,0.7088541666666667,0.06322900000000009,0.04416683333333338,0,0.0,0.75,c384ade52fd5a986178d52ee3416c23729c25d6e603f5063fb804826b8118568,245d1925d02c0349206b96a603080d0f898447caacfc1883f7672c87d9a19362
4e9f2539049483c7d813,0,M09,S1,13,2026071704,P2_random,0.2,3,3,10,SUCCESS,,0.689792,0.753021,0.6810416666666667,0.06322900000000009,0.054478666666666786,8,1.0,0.8333333333333334,9ea355c9146c3f8a3e5fbb7d9916c88408c7535da803ad196998b2a1da1b77a6,a3f58bdbb1e878a6ba4ea18acde913e36aefd2eddbc6e43f4ebe0c721689d9dd
f78246aa2c15c232a566,0,M09,S1,13,2026071705,P2_random,0.2,3,3,3,SUCCESS,,0.689792,0.753021,0.7489583333333333,0.06322900000000009,0.00406266666666677,0,0.0,0.75,6486242d39ebcc72c16b7d973e62294e5b8f352366aa84b90c79ef7e7b350065,9a696a831b2d205e5a45d94a1c741023fb480aa6ce088d84c9a61b6ee61a8c5d
56e119b7fb45289ff00b,0,M09,S1,13,2026071706,P2_random,0.2,3,3,10,SUCCESS,,0.689792,0.753021,0.6667708333333333,0.06322900000000009,0.04020783333333344,8,1.0,0.8333333333333334,000b9fc0c1c1abb21c6dfbdbde579b6cfd2082e222828cce42b3b7921ade3ce7,5f2e9c256ea2e2f5a43e29ed1d3cbee3a014232f1fe926391ad0d1762cd77cb7
6900221ce8b2a7755eb0,0,M09,S1,13,2026071707,P2_random,0.2,3,3,3,SUCCESS,,0.689792,0.753021,0.7014583333333333,0.06322900000000009,0.05156266666666676,0,0.0,0.75,e70c9ff63b875cac0fc01b6fcb94aad32e27547e9c66c2c25831d7dae7454bf2,e149904dabef8e2336046fec5eaadf8fc0c1c360110de154aee7638b543b1348
9c1ab8507f8e71e11c0d,0,M09,S1,13,2026071708,P2_random,0.2,3,3,3,SUCCESS,,0.689792,0.753021,0.7438541666666666,0.06322900000000009,0.009166833333333457,0,0.0,0.75,50e20fe27691ea01402423f896f998a076ac2ab4f3f51c16d35cdd44ca3509ce,82957efa538cca575e1a6e7e3d1903f5921b7d322eead1f04f5f43b1d579aafe
